posteam,season,week,start_yardline_bucket,downs_prob,end_half_prob,fg_prob,punt_prob,td_prob,turnover_prob,total_drives
GB,2022,5,opp_35,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,6
GB,2022,6,opp_35,0.5,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,6
GB,2022,6,own_20,0.0,0.2,0.0,0.6,0.0,0.2,5
GB,2022,7,opp_35,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.0,0.0,6
GB,2022,8,opp_35,0.2,0.2,0.2,0.4,0.0,0.0,5
GB,2022,9,opp_35,0.0,0.25,0.25,0.25,0.0,0.25,4
GB,2022,10,opp_35,0.0,0.5,0.0,0.3333333333333333,0.0,0.16666666666666666,6
GB,2022,10,own_10,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,3
GB,2022,11,opp_35,0.0,0.4,0.2,0.4,0.0,0.0,5
GB,2022,12,opp_35,0.0,0.375,0.25,0.125,0.0,0.25,8
GB,2022,13,opp_35,0.0,0.4,0.2,0.4,0.0,0.0,5
GB,2022,13,own_20,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
GB,2022,15,opp_35,0.0,0.6666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,6
GB,2022,16,opp_35,0.2,0.4,0.2,0.2,0.0,0.0,5
GB,2022,17,opp_35,0.0,0.5,0.0,0.5,0.0,0.0,4
GB,2022,17,own_35,0.25,0.25,0.5,0.0,0.0,0.0,4
GB,2022,18,opp_35,0.0,0.25,0.5,0.0,0.0,0.25,4
GB,2022,18,own_20,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,3
GB,2023,1,opp_35,0.2,0.4,0.0,0.4,0.0,0.0,5
GB,2023,1,midfield,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,3
GB,2023,2,opp_35,0.14285714285714285,0.42857142857142855,0.0,0.42857142857142855,0.0,0.0,7
GB,2023,2,own_35,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
GB,2023,3,opp_35,0.0,0.25,0.0,0.5,0.0,0.25,4
GB,2023,3,own_20,0.0,0.5,0.25,0.0,0.25,0.0,4
GB,2023,4,opp_35,0.0,0.25,0.125,0.375,0.0,0.25,8
GB,2023,5,opp_35,0.0,0.0,0.0,0.5,0.0,0.5,4
GB,2023,5,own_10,0.0,0.0,0.5,0.5,0.0,0.0,4
GB,2023,7,opp_35,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,6
GB,2023,8,opp_35,0.0,0.2,0.0,0.6,0.0,0.2,5
GB,2023,9,own_35,0.0,0.2,0.2,0.6,0.0,0.0,5
GB,2023,10,opp_35,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,6
GB,2023,10,own_10,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,3
GB,2023,11,opp_35,0.16666666666666666,0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,6
GB,2023,12,opp_35,0.2,0.8,0.0,0.0,0.0,0.0,5
GB,2023,12,own_35,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,3
GB,2023,13,opp_35,0.0,0.6,0.0,0.4,0.0,0.0,5
GB,2023,14,opp_35,0.0,0.25,0.0,0.5,0.0,0.25,4
GB,2023,14,own_10,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,3
GB,2023,15,opp_35,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,7
GB,2023,16,opp_35,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,6
GB,2023,17,opp_35,0.0,0.5,0.25,0.25,0.0,0.0,4
GB,2023,17,own_10,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,3
GB,2023,18,opp_35,0.0,0.75,0.25,0.0,0.0,0.0,4
GB,2023,19,opp_35,0.0,0.6,0.0,0.4,0.0,0.0,5
GB,2023,20,opp_35,0.0,0.2,0.4,0.2,0.0,0.2,5
GB,2024,1,opp_35,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,6
GB,2024,2,opp_35,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,3
GB,2024,2,own_20,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,3
GB,2024,3,opp_35,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
GB,2024,4,opp_35,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,0.3333333333333333,6
GB,2024,4,own_10,0.0,0.4,0.0,0.4,0.0,0.2,5
GB,2024,5,opp_35,0.0,0.0,0.25,0.75,0.0,0.0,4
GB,2024,5,own_10,0.0,0.25,0.0,0.5,0.25,0.0,4
GB,2024,6,opp_35,0.0,0.6,0.0,0.2,0.0,0.2,5
GB,2024,6,own_20,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,3
GB,2024,7,opp_35,0.0,0.2,0.2,0.2,0.0,0.4,5
GB,2024,7,own_10,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,3
GB,2024,8,opp_35,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.0,7
GB,2024,8,own_20,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,3
GB,2024,9,opp_35,0.0,0.2,0.2,0.4,0.2,0.0,5
GB,2024,11,opp_35,0.2,0.6,0.0,0.2,0.0,0.0,5
GB,2024,12,opp_35,0.0,0.5,0.0,0.5,0.0,0.0,4
GB,2024,12,own_35,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,3
GB,2024,13,opp_35,0.0,0.0,0.0,1.0,0.0,0.0,4
GB,2024,14,opp_35,0.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.0,7
GB,2024,15,opp_35,0.0,0.4,0.4,0.2,0.0,0.0,5
GB,2024,15,own_10,0.25,0.0,0.25,0.5,0.0,0.0,4
GB,2024,16,own_20,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,3
GB,2024,16,own_10,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,3
GB,2024,17,opp_35,0.2,0.0,0.0,0.6,0.0,0.2,5
GB,2024,18,opp_35,0.0,0.25,0.25,0.5,0.0,0.0,4
GB,2024,18,own_35,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,3
GB,2024,19,opp_35,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.5,6
GB,2025,1,opp_35,0.0,0.6,0.2,0.2,0.0,0.0,5
GB,2025,2,opp_35,0.25,0.5,0.0,0.25,0.0,0.0,4
GB,2025,2,own_10,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,3
GB,2025,3,opp_35,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,3
GB,2025,3,own_10,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,3
GB,2025,4,opp_35,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,0.14285714285714285,7
GB,2025,6,opp_35,0.0,0.5,0.25,0.0,0.0,0.25,4
GB,2025,6,own_10,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,3
GB,2025,7,opp_35,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.0,0.0,6
GB,2025,8,opp_35,0.0,0.5,0.125,0.375,0.0,0.0,8
HOU,2022,1,opp_35,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.16666666666666666,6
HOU,2022,1,own_10,0.0,0.5,0.25,0.25,0.0,0.0,4
HOU,2022,2,opp_35,0.2,0.2,0.2,0.4,0.0,0.0,5
HOU,2022,2,own_20,0.25,0.0,0.25,0.5,0.0,0.0,4
HOU,2022,3,opp_35,0.0,0.2,0.4,0.4,0.0,0.0,5
HOU,2022,3,midfield,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,3
HOU,2022,4,opp_35,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,6
HOU,2022,4,own_20,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,3
HOU,2022,5,opp_35,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
HOU,2022,7,opp_35,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,7
HOU,2022,8,opp_35,0.0,0.0,0.0,1.0,0.0,0.0,4
HOU,2022,8,own_10,0.0,0.25,0.0,0.75,0.0,0.0,4
HOU,2022,9,opp_35,0.0,0.4,0.2,0.4,0.0,0.0,5
HOU,2022,9,own_35,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,3
HOU,2022,10,opp_35,0.0,0.2,0.2,0.4,0.0,0.2,5
HOU,2022,10,own_20,0.0,0.0,0.25,0.75,0.0,0.0,4
HOU,2022,11,opp_35,0.0,0.16666666666666666,0.16666666666666666,0.5,0.0,0.16666666666666666,6
HOU,2022,11,own_20,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,3
HOU,2022,12,opp_35,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,6
HOU,2022,12,own_35,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,3
HOU,2022,12,own_20,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,3
HOU,2022,13,opp_35,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,6
HOU,2022,13,own_10,0.0,0.0,0.0,0.5,0.5,0.0,4
HOU,2022,14,opp_35,0.125,0.25,0.125,0.25,0.0,0.25,8
HOU,2022,14,own_20,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,3
HOU,2022,15,opp_35,0.0,0.2,0.2,0.6,0.0,0.0,5
HOU,2022,16,opp_35,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,3
HOU,2022,16,own_35,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,3
HOU,2022,16,own_20,0.0,0.25,0.0,0.75,0.0,0.0,4
HOU,2022,17,opp_35,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,6
HOU,2022,17,own_10,0.2,0.2,0.0,0.6,0.0,0.0,5
HOU,2022,18,opp_35,0.0,0.5,0.0,0.3333333333333333,0.0,0.16666666666666666,6
HOU,2023,1,opp_35,0.3333333333333333,0.0,0.16666666666666666,0.5,0.0,0.0,6
HOU,2023,1,own_10,0.0,0.25,0.5,0.25,0.0,0.0,4
HOU,2023,2,opp_35,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,6
HOU,2023,2,own_20,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,3
HOU,2023,3,opp_35,0.0,0.5,0.0,0.5,0.0,0.0,4
HOU,2023,3,midfield,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,3
HOU,2023,4,opp_35,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,3
HOU,2023,4,own_20,0.25,0.0,0.5,0.25,0.0,0.0,4
HOU,2023,5,opp_35,0.0,0.2,0.2,0.6,0.0,0.0,5
HOU,2023,5,own_20,0.0,0.0,0.25,0.75,0.0,0.0,4
HOU,2023,6,opp_35,0.0,0.25,0.25,0.5,0.0,0.0,4
HOU,2023,6,own_35,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,3
HOU,2023,8,opp_35,0.0,0.25,0.0,0.5,0.0,0.25,4
HOU,2023,9,opp_35,0.0,0.5,0.25,0.125,0.0,0.125,8
HOU,2023,10,opp_35,0.0,0.16666666666666666,0.3333333333333333,0.5,0.0,0.0,6
HOU,2023,10,own_20,0.0,0.25,0.0,0.25,0.0,0.5,4
HOU,2023,11,opp_35,0.0,0.5,0.0,0.25,0.0,0.25,4
HOU,2023,11,own_20,0.0,0.5,0.0,0.25,0.0,0.25,4
HOU,2023,12,opp_35,0.16666666666666666,0.3333333333333333,0.0,0.5,0.0,0.0,6
HOU,2023,13,opp_35,0.0,0.2,0.0,0.8,0.0,0.0,5
HOU,2023,13,own_20,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,3
HOU,2023,13,own_10,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,3
HOU,2023,14,opp_35,0.42857142857142855,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,7
HOU,2023,14,own_10,0.0,0.0,0.0,1.0,0.0,0.0,3
HOU,2023,15,opp_35,0.0,0.25,0.0,0.75,0.0,0.0,4
HOU,2023,15,own_20,0.0,0.2,0.2,0.4,0.2,0.0,5
HOU,2023,16,opp_35,0.16666666666666666,0.16666666666666666,0.0,0.5,0.0,0.16666666666666666,6
HOU,2023,16,own_20,0.0,0.0,0.0,1.0,0.0,0.0,3
HOU,2023,17,own_10,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,3
HOU,2023,18,opp_35,0.0,0.4,0.0,0.6,0.0,0.0,5
HOU,2023,18,own_35,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
HOU,2023,19,opp_35,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,3
HOU,2023,19,midfield,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
HOU,2023,20,opp_35,0.14285714285714285,0.14285714285714285,0.0,0.7142857142857143,0.0,0.0,7
HOU,2024,1,opp_35,0.0,0.6,0.4,0.0,0.0,0.0,5
HOU,2024,1,own_10,0.0,0.5,0.0,0.5,0.0,0.0,4
HOU,2024,2,opp_35,0.0,0.25,0.5,0.25,0.0,0.0,4
HOU,2024,2,midfield,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,3
HOU,2024,2,own_20,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,3
HOU,2024,2,own_10,0.0,0.0,0.0,1.0,0.0,0.0,3
HOU,2024,3,opp_35,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.0,0.2857142857142857,7
HOU,2024,4,opp_35,0.0,0.2,0.2,0.6,0.0,0.0,5
HOU,2024,4,own_20,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,3
HOU,2024,5,opp_35,0.0,0.2,0.2,0.6,0.0,0.0,5
HOU,2024,5,own_10,0.2,0.0,0.0,0.4,0.0,0.4,5
HOU,2024,6,opp_35,0.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,0.0,7
HOU,2024,6,own_20,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,3
HOU,2024,7,opp_35,0.0,0.0,0.25,0.75,0.0,0.0,4
HOU,2024,7,own_20,0.0,0.25,0.0,0.75,0.0,0.0,4
HOU,2024,8,opp_35,0.0,0.2,0.4,0.2,0.0,0.2,5
HOU,2024,8,own_35,0.0,0.0,0.0,1.0,0.0,0.0,3
HOU,2024,9,opp_35,0.0,0.25,0.5,0.25,0.0,0.0,4
HOU,2024,9,own_20,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,3
HOU,2024,10,opp_35,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,6
HOU,2024,10,own_20,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,3
HOU,2024,11,opp_35,0.0,0.5,0.25,0.25,0.0,0.0,4
HOU,2024,12,opp_35,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,6
HOU,2024,13,opp_35,0.0,0.6,0.0,0.4,0.0,0.0,5
HOU,2024,15,opp_35,0.0,0.4,0.0,0.4,0.0,0.2,5
HOU,2024,16,opp_35,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.3333333333333333,6
HOU,2024,17,opp_35,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,6
HOU,2024,18,opp_35,0.25,0.5,0.25,0.0,0.0,0.0,4
HOU,2024,18,own_20,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,3
HOU,2024,19,opp_35,0.0,0.25,0.0,0.25,0.0,0.5,4
HOU,2024,19,own_20,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
HOU,2024,19,own_10,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,3
HOU,2024,20,opp_35,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,6
HOU,2025,1,opp_35,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,3
HOU,2025,1,own_10,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,3
HOU,2025,2,opp_35,0.0,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,6
HOU,2025,2,own_20,0.2,0.2,0.0,0.6,0.0,0.0,5
HOU,2025,3,opp_35,0.0,0.0,0.0,0.75,0.0,0.25,4
HOU,2025,3,own_35,0.0,0.2,0.0,0.4,0.0,0.4,5
HOU,2025,5,opp_35,0.0,0.5,0.5,0.0,0.0,0.0,4
HOU,2025,7,opp_35,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,6
HOU,2025,7,own_35,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,3
HOU,2025,7,own_20,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,3
HOU,2025,8,opp_35,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,3
HOU,2025,8,own_10,0.0,0.5,0.25,0.25,0.0,0.0,4
IND,2022,1,opp_35,0.0,0.0,0.0,0.6,0.0,0.4,5
IND,2022,1,own_20,0.25,0.5,0.25,0.0,0.0,0.0,4
IND,2022,1,own_10,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
IND,2022,2,opp_35,0.2,0.0,0.0,0.6,0.0,0.2,5
IND,2022,2,own_20,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,3
IND,2022,3,opp_35,0.0,0.0,0.5,0.5,0.0,0.0,4
IND,2022,4,opp_35,0.0,0.2,0.2,0.2,0.0,0.4,5
IND,2022,4,own_20,0.0,0.5,0.0,0.25,0.0,0.25,4
IND,2022,5,opp_35,0.0,0.0,0.2,0.6,0.0,0.2,5
IND,2022,5,own_20,0.0,0.0,0.4,0.4,0.0,0.2,5
IND,2022,6,opp_35,0.0,0.4,0.2,0.4,0.0,0.0,5
IND,2022,7,opp_35,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,6
IND,2022,8,opp_35,0.0,0.4,0.0,0.6,0.0,0.0,5
IND,2022,8,own_10,0.0,0.25,0.25,0.25,0.0,0.25,4
IND,2022,9,opp_35,0.14285714285714285,0.0,0.0,0.8571428571428571,0.0,0.0,7
IND,2022,9,own_20,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,3
IND,2022,10,opp_35,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
IND,2022,10,own_10,0.0,0.5,0.0,0.5,0.0,0.0,4
IND,2022,11,opp_35,0.2,0.2,0.2,0.2,0.0,0.2,5
IND,2022,11,own_35,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
IND,2022,12,opp_35,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,6
IND,2022,13,opp_35,0.0,0.3333333333333333,0.0,0.2222222222222222,0.1111111111111111,0.3333333333333333,9
IND,2022,15,opp_35,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,7
IND,2022,15,own_20,0.0,0.25,0.25,0.5,0.0,0.0,4
IND,2022,15,own_10,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,3
IND,2022,16,opp_35,0.4,0.0,0.2,0.4,0.0,0.0,5
IND,2022,16,own_20,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,3
IND,2022,17,opp_35,0.0,0.2857142857142857,0.0,0.5714285714285714,0.14285714285714285,0.0,7
IND,2022,18,opp_35,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,0.3333333333333333,6
IND,2023,1,opp_35,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.0,0.2857142857142857,7
IND,2023,1,own_35,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,3
IND,2023,2,opp_35,0.0,0.4,0.0,0.6,0.0,0.0,5
IND,2023,2,own_20,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
IND,2023,3,opp_35,0.0,0.0,0.2,0.8,0.0,0.0,5
IND,2023,3,own_35,0.0,0.0,0.75,0.25,0.0,0.0,4
IND,2023,3,own_10,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,3
IND,2023,4,opp_35,0.0,0.3333333333333333,0.0,0.5,0.0,0.16666666666666666,6
IND,2023,5,opp_35,0.2,0.4,0.2,0.2,0.0,0.0,5
IND,2023,6,opp_35,0.25,0.125,0.25,0.25,0.0,0.125,8
IND,2023,6,own_20,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,3
IND,2023,7,opp_35,0.0,0.625,0.0,0.25,0.0,0.125,8
IND,2023,7,own_20,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,3
IND,2023,8,opp_35,0.0,0.375,0.25,0.375,0.0,0.0,8
IND,2023,8,own_10,0.0,0.25,0.0,0.5,0.0,0.25,4
IND,2023,9,opp_35,0.0,0.2,0.2,0.6,0.0,0.0,5
IND,2023,10,opp_35,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,3
IND,2023,10,own_20,0.0,0.25,0.0,0.75,0.0,0.0,4
IND,2023,12,opp_35,0.0,0.2,0.4,0.4,0.0,0.0,5
IND,2023,13,opp_35,0.0,0.2,0.2,0.4,0.2,0.0,5
IND,2023,13,own_20,0.0,0.25,0.0,0.75,0.0,0.0,4
IND,2023,14,opp_35,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.14285714285714285,7
IND,2023,15,opp_35,0.0,0.25,0.25,0.5,0.0,0.0,4
IND,2023,15,own_20,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,3
IND,2023,16,opp_35,0.25,0.375,0.125,0.25,0.0,0.0,8
IND,2023,17,opp_35,0.0,0.4,0.4,0.2,0.0,0.0,5
IND,2023,17,own_10,0.0,0.5,0.0,0.5,0.0,0.0,4
IND,2023,18,opp_35,0.2,0.0,0.6,0.2,0.0,0.0,5
IND,2023,18,own_10,0.0,0.25,0.0,0.75,0.0,0.0,4
IND,2024,1,opp_35,0.14285714285714285,0.42857142857142855,0.0,0.42857142857142855,0.0,0.0,7
IND,2024,2,opp_35,0.2,0.0,0.2,0.2,0.0,0.4,5
IND,2024,2,own_10,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,3
IND,2024,3,opp_35,0.0,0.25,0.0,0.5,0.0,0.25,4
IND,2024,4,opp_35,0.0,0.5,0.25,0.25,0.0,0.0,4
IND,2024,4,midfield,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,3
IND,2024,4,own_10,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,3
IND,2024,5,opp_35,0.0,0.625,0.25,0.125,0.0,0.0,8
IND,2024,5,own_20,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,3
IND,2024,6,opp_35,0.0,0.25,0.25,0.5,0.0,0.0,4
IND,2024,6,own_20,0.0,0.25,0.25,0.5,0.0,0.0,4
IND,2024,7,opp_35,0.0,0.25,0.25,0.25,0.0,0.25,4
IND,2024,7,own_20,0.0,0.25,0.25,0.5,0.0,0.0,4
IND,2024,7,own_10,0.0,0.0,0.0,1.0,0.0,0.0,4
IND,2024,8,opp_35,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,6
IND,2024,8,own_10,0.0,0.16666666666666666,0.0,0.5,0.0,0.3333333333333333,6
IND,2024,9,opp_35,0.0,0.0,0.4,0.2,0.0,0.4,5
IND,2024,9,own_20,0.25,0.25,0.0,0.5,0.0,0.0,4
IND,2024,10,opp_35,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,7
IND,2024,11,opp_35,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,6
IND,2024,11,own_20,0.0,0.25,0.25,0.5,0.0,0.0,4
IND,2024,12,opp_35,0.2,0.0,0.4,0.4,0.0,0.0,5
IND,2024,12,own_10,0.0,0.2,0.0,0.8,0.0,0.0,5
IND,2024,13,opp_35,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,6
IND,2024,15,opp_35,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,6
IND,2024,15,own_20,0.0,0.0,0.25,0.25,0.0,0.5,4
IND,2024,15,own_10,0.0,0.0,0.0,1.0,0.0,0.0,3
IND,2024,16,opp_35,0.0,0.5,0.0,0.3333333333333333,0.0,0.16666666666666666,6
IND,2024,16,own_20,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
IND,2024,17,opp_35,0.0,0.5,0.125,0.0,0.0,0.375,8
IND,2024,18,opp_35,0.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.0,7
IND,2024,18,own_10,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,3
IND,2025,2,opp_35,0.2,0.2,0.6,0.0,0.0,0.0,5
IND,2025,2,own_10,0.25,0.5,0.25,0.0,0.0,0.0,4
IND,2025,3,opp_35,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,6
IND,2025,4,opp_35,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,6
IND,2025,4,own_10,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,3
IND,2025,5,opp_35,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,3
IND,2025,6,opp_35,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.0,6
IND,2025,6,own_10,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,3
IND,2025,7,opp_35,0.0,0.8,0.0,0.2,0.0,0.0,5
IND,2025,7,own_20,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,3
IND,2025,8,opp_35,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
IND,2025,8,own_20,0.0,0.75,0.0,0.25,0.0,0.0,4
JAX,2022,1,opp_35,0.0,0.0,0.2,0.6,0.0,0.2,5
JAX,2022,1,own_20,0.25,0.5,0.25,0.0,0.0,0.0,4
JAX,2022,2,own_20,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,3
JAX,2022,2,own_10,0.0,0.4,0.0,0.6,0.0,0.0,5
JAX,2022,3,opp_35,0.25,0.5,0.25,0.0,0.0,0.0,4
JAX,2022,3,own_20,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,3
JAX,2022,4,opp_35,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,6
JAX,2022,4,own_20,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,3
